Mem: 1856256K used, 141760K free, 71424K shrd, 12032K buff, 207552K cached
CPU:  43% usr  39% sys   0% nic   8% idle   0% io   8% irq   0% sirq
Load average: 6.62 5.32 2.75 21/849 11643
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  432   254 root     S    4987m 253%  13% /lib/firmware/TDA4_A72_demo_gac_a09.out
 3937     1 root     S    1719m  87%   9% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
 3701     1 root     S    1321m  67%   9% ./mv_fusion
 4535     1 root     S    1235m  63%   9% ./mv_calib
  547   530 root     R    32.0t1703949%   4% met_hmi_service
 2776     1 root     S    2070m 105%   4% ./mv_avm
 3190     1 root     S    1682m  85%   4% ./mv_decision
 3448     1 root     S    1445m  73%   4% ./mv_plan
  440     1 root     R    1185m  60%   4% ./fas_someipd
  545   530 root     S    1112m  56%   4% TDA4_A72_met_vehinfo.out
 4543     1 root     S     868m  44%   4% ./TDA4_A72_gac_raeb_09.out
  544   530 root     S    20160   1%   4% perception
   10     2 root     IW       0   0%   4% [rcu_preempt]
  548   530 root     S    1414m  72%   0% TDA4_A72_met_adas.out
 4858     1 root     S     771m  39%   0% ./A09_RaLog
  543   530 root     S     298m  15%   0% Fusion
  546   530 root     S     227m  12%   0% met_draw_client_v2.out
 2002     1 root     S     176m   9%   0% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
 2878     1 root     S    79168   4%   0% /bin/ntpd
  534   530 root     S    73728   4%   0% RM 0
  538   530 root     S    44800   2%   0% calibration
  530     1 root     S    27328   1%   0% ./met_ipc_master.out
  539   530 root     S    20480   1%   0% LSR
  541   530 root     S    19584   1%   0% ST
  533   530 root     S    19328   1%   0% met_adas_init.out
  540   530 root     S    18624   1%   0% COR
  535   530 root     S    18560   1%   0% GO
  536   530 root     S    18304   1%   0% TLR
  537   530 root     S    18304   1%   0% TSR
  542   530 root     R    18112   1%   0% VSE
 6287  6269 root     S     5504   0%   0% /usr/libexec/sftp-server
  253   251 root     S     5056   0%   0% /bin/login -f
19500  5151 root     T     3456   0%   0% top -b -d 1
  254   253 root     S     3456   0%   0% -sh
  338     1 root     S     3456   0%   0% /usr/sbin/telnetd -l /bin/sh
 5151   338 root     S     3456   0%   0% /bin/sh
