Mem: 1726912K used, 271104K free, 71424K shrd, 6080K buff, 148160K cached
CPU:  35% usr  30% sys   0% nic  30% idle   0% io   5% irq   0% sirq
Load average: 54.06 55.55 28.68 2/844 22774
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 2776     1 root     S    2062m 105%  15% ./mv_avm
  545   530 root     S    1112m  56%  10% TDA4_A72_met_vehinfo.out
  432   254 root     S    4987m 253%   5% /lib/firmware/TDA4_A72_demo_gac_a09.out
 3937     1 root     S    1719m  87%   5% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
 3190     1 root     S    1682m  85%   5% ./mv_decision
 3701     1 root     S    1321m  67%   5% ./mv_fusion
  543   530 root     S    1010m  51%   5% Fusion
 4543     1 root     S     868m  44%   5% ./TDA4_A72_gac_raeb_09.out
  544   530 root     S    20160   1%   5% perception
22752 26945 root     R     3328   0%   5% top -b -d 1
   25     2 root     IW       0   0%   5% [kworker/0:1-eve]
 3448     1 root     S    1445m  73%   0% ./mv_plan
  548   530 root     S    1414m  72%   0% TDA4_A72_met_adas.out
 4535     1 root     S    1235m  63%   0% ./mv_calib
  440     1 root     S    1177m  60%   0% ./fas_someipd
  546   530 root     S    1011m  51%   0% met_draw_client_v2.out
 4858     1 root     S     771m  39%   0% ./A09_RaLog
 2002     1 root     S     176m   9%   0% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
 2878     1 root     S    79168   4%   0% /bin/ntpd
  534   530 root     S    73728   4%   0% RM 0
  538   530 root     S    44800   2%   0% calibration
  530     1 root     S    27328   1%   0% ./met_ipc_master.out
  539   530 root     S    20480   1%   0% LSR
  541   530 root     S    19584   1%   0% ST
  533   530 root     S    19328   1%   0% met_adas_init.out
  540   530 root     S    18624   1%   0% COR
  535   530 root     S    18560   1%   0% GO
  536   530 root     S    18304   1%   0% TLR
  537   530 root     S    18304   1%   0% TSR
  542   530 root     S    18112   1%   0% VSE
19781 30458 root     T    10624   1%   0% tcpdump -i eth0.4 -w 123.pcap
30890 27333 root     T    10624   1%   0% tcpdump -i eth0.4 -w 123.pcap
13497 26945 root     T    10624   1%   0% tcpdump -i eth0.4 -w 123.pcap
 6287  6269 root     S     5504   0%   0% /usr/libexec/sftp-server
 6462  6443 root     S     5504   0%   0% /usr/libexec/sftp-server
13926 13663 root     S     5504   0%   0% /usr/libexec/sftp-server
  253   251 root     S     5056   0%   0% /bin/login -f
12543 26945 root     T     3520   0%   0% top -b -d 1
11620  5151 root     T     3456   0%   0% top -b -d 1
19500  5151 root     T     3456   0%   0% top -b -d 1
  254   253 root     S     3456   0%   0% -sh
  338     1 root     S     3456   0%   0% /usr/sbin/telnetd -l /bin/sh
17973 26945 root     T     3456   0%   0% top -b -d 1
26945   338 root     S     3456   0%   0% /bin/sh
30458   338 root     S     3456   0%   0% /bin/sh
 5151   338 root     S     3456   0%   0% /bin/sh
23374   338 root     S     3456   0%   0% /bin/sh
27333   338 root     S     3456   0%   0% /bin/sh
 6269  5498 root     S     3328   0%   0% /usr/sbin/dropbear -B
 6443  5498 root     S     3328   0%   0% /usr/sbin/dropbear -B
13663  5498 root     S     3328   0%   0% /usr/sbin/dropbear -B
  243     1 root     S     3328   0%   0% /sbin/syslogd -n -O /var/log/messages
  252     1 root     S     3328   0%   0% /sbin/getty 38400 tty1
  246     1 root     S     3328   0%   0% /sbin/klogd -n
  251     1 root     S     3328   0%   0% {autologin.sh} /bin/sh /sbin/autologin.sh --
 5498     1 root     S     3200   0%   0% /usr/sbin/dropbear -B
    1     0 root     S     2368   0%   0% init [5]
    9     2 root     SW       0   0%   0% [ksoftirqd/0]
   98     2 root     SW       0   0%   0% [kswapd0]
   10     2 root     IW       0   0%   0% [rcu_preempt]
 3473     2 root     IW       0   0%   0% [kworker/u4:3-pv]
    7     2 root     IW       0   0%   0% [kworker/u4:0-ev]
 7561     2 root     IW       0   0%   0% [kworker/u4:1-ev]
27313     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
  113     2 root     IW       0   0%   0% [kworker/1:4-eve]
10568     2 root     IW<      0   0%   0% [kworker/1:2H-kb]
 4812     2 root     IW       0   0%   0% [kworker/u4:4-ev]
  261     2 root     SWN      0   0%   0% [pvr_defer_free]
   15     2 root     SW       0   0%   0% [ksoftirqd/1]
 7993     2 root     IW       0   0%   0% [kworker/u4:2-ev]
  104     2 root     IW       0   0%   0% [kworker/1:2-eve]
  380     2 root     SW       0   0%   0% [jbd2/mmcblk0p11]
  420     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  119     2 root     IW       0   0%   0% [kworker/0:2-pm]
  263     2 root     SW<      0   0%   0% [pvr_cacheop]
   22     2 root     SW       0   0%   0% [oom_reaper]
  434   254 root     Z        0   0%   0% [sh]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     IW<      0   0%   0% [rcu_gp]
    4     2 root     IW<      0   0%   0% [rcu_par_gp]
    8     2 root     IW<      0   0%   0% [mm_percpu_wq]
   11     2 root     SW       0   0%   0% [migration/0]
   12     2 root     SW       0   0%   0% [cpuhp/0]
   13     2 root     SW       0   0%   0% [cpuhp/1]
   14     2 root     SW       0   0%   0% [migration/1]
